intended_execution_date,actual_nav_date,days_delayed,lookup_status
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
2024-08-01,2024-08-01,0.0,Resolved
